Month,Credit_amount,Investment,Age,Sex,Status,Credit_history,Savings,Property,Housing,credit
10,1287,4,Old,Male,A14,A32,A65,A122,A152,1
12,1860,4,Old,Male,A12,A34,A61,A123,A152,1
18,3229,2,Old,Male,A14,A34,A65,A124,A152,1
18,1941,4,Old,Male,A12,A32,A64,A122,A152,1
24,2058,4,Old,Male,A14,A34,A61,A121,A152,1
18,1056,3,Old,Male,A12,A34,A61,A121,A152,0
12,836,4,Young,Female,A12,A32,A62,A122,A152,0
18,1533,4,Old,Male,A14,A32,A61,A122,A152,0
15,1532,4,Old,Female,A14,A34,A62,A123,A152,1
18,1943,4,Young,Female,A14,A32,A61,A121,A152,0
8,1164,3,Old,Male,A11,A34,A61,A124,A153,1
24,1231,4,Old,Female,A11,A34,A64,A122,A151,1
30,2150,4,Young,Female,A12,A32,A61,A124,A152,0
12,1592,3,Old,Female,A14,A34,A64,A122,A152,1
18,866,4,Young,Male,A12,A32,A61,A121,A152,1
24,1442,4,Young,Female,A11,A32,A61,A123,A151,0
48,5096,2,Old,Female,A12,A34,A61,A123,A152,0
36,2394,4,Young,Female,A14,A32,A65,A123,A152,1
6,454,3,Young,Male,A12,A32,A61,A122,A152,1
21,3599,1,Old,Female,A11,A32,A61,A123,A151,1
18,1169,4,Old,Male,A14,A34,A65,A122,A152,1
18,1940,3,Old,Male,A11,A31,A61,A124,A153,1
18,4439,1,Old,Male,A12,A32,A61,A121,A152,1
27,4526,4,Old,Male,A14,A34,A64,A121,A152,1
24,929,4,Old,Male,A14,A32,A65,A123,A152,1
28,2743,4,Old,Male,A14,A34,A61,A123,A152,1
47,10722,1,Old,Female,A11,A32,A61,A121,A152,1
36,2302,4,Old,Male,A11,A32,A61,A123,A151,0
9,1388,4,Old,Female,A14,A32,A61,A121,A151,1
27,2570,3,Young,Female,A14,A32,A61,A121,A151,0
24,1851,4,Old,Male,A14,A34,A61,A123,A152,1
15,5324,1,Old,Female,A14,A32,A63,A124,A153,1
24,3758,1,Young,Female,A12,A32,A63,A124,A151,1
18,1820,2,Old,Male,A14,A32,A61,A122,A152,1
9,1138,4,Young,Male,A11,A34,A61,A121,A152,1
12,2390,4,Old,Male,A14,A32,A65,A123,A152,1
12,1484,2,Young,Male,A12,A32,A65,A121,A152,0
12,1526,4,Old,Male,A11,A34,A61,A124,A153,1
30,4280,4,Old,Female,A12,A30,A62,A123,A151,0
13,2101,2,Young,Female,A12,A32,A61,A122,A152,1
24,6842,2,Old,Male,A14,A34,A65,A122,A152,1
30,5771,4,Young,Female,A14,A34,A61,A123,A152,1
4,601,1,Young,Female,A14,A32,A61,A121,A151,1
21,12680,4,Old,Male,A14,A34,A65,A124,A153,0
9,1478,4,Young,Male,A14,A32,A61,A123,A152,0
4,1503,2,Old,Male,A14,A34,A61,A121,A152,1
18,2899,4,Old,Male,A12,A33,A65,A123,A152,1
18,3114,1,Old,Female,A11,A30,A61,A122,A151,0
15,1275,4,Young,Female,A11,A32,A65,A123,A151,0
72,5595,2,Young,Male,A12,A32,A62,A123,A152,0
24,3123,4,Old,Female,A11,A32,A61,A122,A152,0
18,3190,2,Young,Female,A11,A32,A61,A121,A152,0
36,12612,1,Old,Male,A12,A32,A62,A124,A153,0
48,12169,4,Old,Male,A12,A31,A65,A124,A153,1
24,3632,1,Young,Female,A11,A31,A61,A123,A151,1
24,4151,2,Old,Male,A14,A33,A62,A122,A152,1
6,1346,2,Old,Male,A14,A32,A62,A124,A153,1
18,7374,4,Old,Male,A12,A34,A61,A122,A152,1
10,2069,2,Old,Male,A14,A34,A65,A123,A152,1
13,882,4,Young,Male,A12,A34,A61,A121,A152,1
36,2273,3,Old,Male,A12,A32,A61,A123,A152,1
30,3017,4,Old,Male,A13,A34,A61,A122,A152,1
21,3160,4,Old,Male,A14,A32,A65,A122,A152,1
9,2134,4,Old,Male,A14,A34,A61,A123,A152,1
15,4623,3,Old,Male,A14,A32,A62,A122,A152,0
6,662,3,Old,Male,A11,A32,A61,A121,A152,1
36,2299,4,Old,Male,A14,A32,A63,A123,A152,1
24,3878,4,Old,Male,A12,A34,A62,A123,A152,1
48,7685,2,Old,Female,A11,A31,A61,A123,A151,0
12,1657,2,Old,Male,A11,A32,A61,A121,A152,1
24,2684,4,Old,Male,A14,A34,A61,A121,A152,1
36,3079,4,Old,Male,A14,A32,A65,A121,A152,1
30,2991,2,Young,Female,A12,A32,A65,A123,A152,1
21,5003,1,Old,Female,A14,A30,A65,A122,A152,0
24,2892,3,Old,Male,A13,A32,A61,A124,A153,1
24,915,4,Old,Female,A11,A32,A65,A123,A152,0
18,2051,4,Old,Male,A14,A32,A61,A121,A152,1
12,1007,4,Young,Male,A12,A32,A64,A121,A152,1
27,2442,4,Old,Male,A11,A34,A61,A123,A152,1
12,1884,4,Old,Male,A14,A32,A61,A123,A152,1
42,5954,2,Old,Female,A12,A34,A61,A121,A152,1
12,930,4,Old,Male,A14,A34,A65,A121,A152,1
27,8318,2,Old,Female,A12,A30,A61,A124,A153,0
60,14782,3,Old,Female,A12,A31,A62,A124,A153,0
24,1755,4,Old,Female,A11,A32,A61,A121,A152,1
48,8358,1,Old,Female,A12,A30,A63,A123,A152,1
24,6403,1,Old,Male,A12,A33,A61,A123,A152,1
48,4788,4,Old,Male,A11,A32,A61,A122,A152,1
16,1175,2,Old,Male,A12,A34,A61,A123,A153,1
12,1082,4,Old,Male,A11,A30,A61,A123,A152,0
6,1766,1,Young,Male,A14,A32,A61,A122,A151,1
15,4657,3,Old,Male,A14,A32,A61,A123,A152,1
6,1750,2,Old,Male,A14,A31,A63,A122,A152,1
18,5302,2,Old,Male,A11,A34,A61,A124,A153,1
36,5493,2,Old,Male,A11,A32,A61,A124,A153,1
9,2799,2,Old,Male,A11,A34,A61,A121,A151,1
40,5998,4,Old,Male,A11,A34,A61,A124,A152,0
18,1530,3,Old,Male,A14,A34,A61,A122,A152,0
12,1262,3,Young,Male,A14,A32,A61,A123,A152,1
24,5152,4,Young,Male,A13,A32,A61,A123,A152,1
24,5103,3,Old,Male,A14,A34,A61,A124,A153,1
18,1445,4,Old,Male,A13,A31,A65,A123,A152,1
24,3148,3,Old,Male,A13,A34,A65,A123,A152,1
21,3652,2,Old,Male,A12,A34,A61,A122,A152,1
24,3105,4,Young,Male,A14,A32,A65,A123,A152,1
18,1928,2,Old,Male,A12,A34,A61,A121,A152,0
15,1213,4,Old,Male,A14,A32,A63,A122,A152,1
30,1908,4,Old,Male,A13,A33,A61,A121,A152,0
12,3617,1,Old,Male,A12,A34,A61,A123,A151,1
30,11998,1,Old,Male,A11,A32,A61,A124,A152,0
21,1602,4,Old,Male,A11,A34,A61,A123,A152,1
36,3913,2,Young,Male,A13,A32,A61,A121,A152,1
30,3832,2,Young,Male,A12,A32,A61,A122,A152,1
18,3049,1,Old,Female,A13,A32,A61,A122,A152,1
24,3552,3,Old,Male,A11,A31,A61,A123,A152,0
30,2181,4,Old,Male,A12,A34,A65,A121,A152,1
6,1343,1,Old,Male,A13,A34,A61,A121,A152,1
6,433,4,Young,Female,A12,A31,A64,A122,A151,0
48,10127,2,Old,Male,A14,A34,A63,A124,A153,0
24,1413,4,Old,Male,A14,A32,A61,A122,A152,1
12,3590,2,Old,Male,A11,A32,A61,A122,A152,1
9,1549,4,Old,Male,A12,A32,A65,A121,A152,1
12,2279,4,Old,Male,A14,A32,A65,A124,A153,1
24,2039,1,Young,Male,A12,A32,A61,A122,A152,0
30,3656,4,Old,Male,A13,A34,A65,A122,A152,1
24,1024,4,Old,Male,A11,A33,A61,A121,A152,0
24,2375,4,Old,Male,A14,A33,A63,A123,A152,1
12,3016,3,Young,Male,A13,A32,A61,A123,A152,1
9,2118,2,Old,Male,A12,A32,A61,A121,A152,1
24,2397,3,Old,Male,A14,A32,A63,A123,A152,0
6,1743,1,Old,Male,A14,A33,A62,A121,A152,1
9,1206,4,Young,Female,A12,A32,A61,A121,A152,1
6,14896,1,Old,Male,A11,A32,A61,A124,A152,0
36,5848,4,Young,Male,A13,A32,A61,A123,A152,1
15,3568,4,Old,Female,A14,A32,A61,A123,A151,1
24,1275,2,Old,Male,A13,A34,A64,A121,A152,1
12,888,4,Old,Male,A12,A32,A61,A123,A152,0
12,2149,4,Old,Male,A11,A31,A61,A124,A153,0
24,2828,4,Young,Male,A11,A31,A63,A121,A152,1
12,3059,2,Old,Male,A14,A32,A64,A121,A152,1
36,9271,2,Young,Male,A11,A32,A61,A123,A152,0
24,1216,4,Old,Male,A12,A34,A62,A124,A152,0
18,2462,2,Young,Male,A11,A32,A61,A123,A152,0
6,860,1,Old,Female,A11,A34,A61,A124,A152,1
12,1330,4,Old,Male,A13,A32,A61,A121,A152,1
6,1957,1,Old,Female,A11,A34,A61,A123,A152,1
12,1893,4,Old,Female,A11,A32,A61,A122,A152,1
6,1236,2,Old,Male,A14,A32,A63,A122,A151,1
12,1768,3,Young,Male,A14,A32,A61,A121,A151,1
54,15945,3,Old,Male,A12,A30,A61,A124,A151,0
9,1422,3,Old,Male,A11,A32,A61,A124,A153,0
21,3763,2,Young,Male,A11,A32,A65,A121,A152,1
9,654,4,Old,Male,A11,A32,A61,A123,A152,0
36,6614,4,Old,Male,A14,A34,A61,A123,A152,1
21,5248,1,Old,Male,A14,A32,A65,A123,A152,1
20,2629,2,Old,Male,A12,A33,A61,A123,A152,1
15,1459,4,Old,Female,A14,A34,A61,A123,A152,1
60,13756,2,Old,Male,A14,A34,A65,A124,A153,1
5,3448,1,Old,Male,A14,A32,A61,A121,A152,1
15,1403,2,Old,Female,A11,A32,A61,A123,A151,1
24,1533,4,Old,Female,A14,A32,A61,A123,A152,1
15,802,4,Old,Male,A12,A32,A61,A123,A152,0
18,1131,4,Old,Female,A11,A32,A61,A123,A152,0
10,1225,2,Old,Male,A13,A32,A61,A123,A152,1
24,1603,4,Old,Female,A11,A32,A61,A123,A152,1
18,1055,4,Old,Female,A14,A34,A61,A122,A152,1
18,1984,4,Old,Male,A14,A32,A61,A124,A153,1
24,2197,4,Old,Male,A14,A34,A65,A123,A152,1
24,1837,4,Old,Female,A12,A31,A61,A124,A153,0
15,392,4,Young,Female,A13,A32,A61,A122,A151,1
12,1922,4,Old,Male,A12,A32,A61,A122,A152,0
24,4591,2,Old,Male,A14,A32,A64,A122,A152,0
24,1381,4,Old,Female,A11,A32,A65,A122,A152,0
24,3181,4,Old,Female,A14,A32,A61,A122,A152,1
12,1282,2,Young,Female,A11,A32,A61,A123,A151,0
7,2415,3,Old,Male,A12,A32,A61,A121,A152,1
10,1309,4,Old,Male,A14,A32,A65,A122,A152,0
9,3074,1,Old,Male,A14,A34,A65,A121,A152,1
36,9629,4,Young,Male,A11,A34,A61,A123,A152,0
48,4844,3,Old,Male,A14,A32,A61,A123,A151,0
24,5511,4,Young,Male,A14,A32,A62,A123,A152,1
18,2100,4,Old,Male,A13,A32,A61,A121,A152,0
6,753,2,Old,Female,A12,A32,A61,A121,A152,1
12,804,4,Old,Male,A14,A32,A61,A123,A152,1
24,1393,2,Old,Male,A14,A32,A61,A121,A152,1
45,1845,4,Young,Male,A11,A32,A61,A124,A153,0
18,3213,1,Young,Male,A12,A32,A63,A121,A151,1
7,2329,1,Old,Female,A12,A32,A61,A121,A152,1
6,1209,4,Old,Male,A12,A33,A61,A122,A152,0
12,951,4,Old,Female,A12,A32,A62,A123,A151,0
12,1240,4,Old,Female,A14,A34,A65,A121,A152,1
36,2613,4,Old,Male,A14,A30,A61,A123,A152,1
18,1582,4,Old,Male,A14,A34,A64,A123,A152,1
9,918,4,Old,Female,A12,A32,A61,A122,A152,0
18,1453,3,Old,Female,A14,A32,A61,A121,A152,1
15,960,3,Old,Female,A14,A33,A64,A122,A152,1
54,9436,2,Old,Male,A14,A30,A65,A122,A152,1
36,7855,4,Young,Female,A14,A34,A61,A121,A152,0
24,3777,4,Old,Male,A14,A34,A64,A121,A152,1
12,3386,3,Old,Male,A11,A32,A61,A124,A153,0
18,8471,1,Young,Female,A11,A33,A65,A123,A151,1
24,1901,4,Old,Male,A14,A32,A62,A123,A151,1
15,1264,2,Young,Male,A12,A31,A62,A122,A151,0
10,727,4,Old,Male,A14,A32,A63,A124,A153,1
12,2331,1,Old,Male,A14,A34,A65,A121,A152,1
24,2032,4,Old,Male,A14,A33,A61,A124,A153,1
6,590,3,Old,Male,A12,A32,A61,A121,A152,1
9,2030,2,Young,Male,A12,A32,A65,A123,A152,1
10,2210,2,Young,Male,A14,A32,A61,A121,A151,0
20,4272,1,Young,Female,A11,A34,A61,A122,A152,1
60,15653,2,Young,Male,A14,A33,A61,A123,A152,1
30,3441,2,Young,Female,A12,A32,A62,A123,A151,0
24,717,4,Old,Male,A14,A33,A65,A123,A152,1
12,409,3,Old,Female,A13,A31,A64,A121,A151,1
24,2064,3,Old,Female,A12,A33,A61,A122,A152,0
6,700,4,Old,Male,A14,A34,A65,A124,A153,1
12,719,4,Old,Male,A14,A32,A61,A123,A152,0
24,2578,2,Old,Male,A14,A34,A64,A123,A152,1
24,3972,2,Young,Female,A14,A32,A61,A122,A151,1
6,666,3,Old,Female,A11,A34,A64,A121,A152,1
12,2171,4,Old,Male,A11,A34,A61,A122,A152,1
12,3573,1,Young,Female,A12,A34,A61,A121,A152,1
48,14421,2,Young,Male,A12,A30,A61,A123,A152,0
36,8229,2,Old,Male,A11,A32,A61,A122,A152,0
15,1300,4,Old,Male,A14,A32,A65,A124,A153,1
16,2625,2,Old,Male,A11,A34,A61,A122,A151,0
48,15672,2,Young,Male,A12,A32,A61,A123,A152,0
10,1546,3,Old,Male,A14,A32,A61,A121,A152,1
18,976,1,Young,Female,A11,A32,A61,A123,A152,0
9,1449,3,Old,Female,A14,A32,A61,A123,A152,1
20,6148,3,Old,Male,A12,A30,A62,A123,A152,1
24,5804,4,Old,Male,A14,A34,A64,A121,A152,1
60,10144,2,Young,Female,A14,A32,A62,A121,A152,1
6,2116,2,Old,Male,A13,A32,A61,A121,A152,1
36,4455,2,Old,Male,A12,A33,A61,A121,A152,0
36,6304,4,Old,Male,A14,A34,A65,A121,A152,1
6,1237,1,Old,Female,A14,A34,A62,A122,A152,1
6,2080,1,Young,Male,A14,A34,A63,A123,A152,1
12,795,4,Old,Female,A11,A32,A61,A122,A152,0
12,1498,4,Young,Female,A11,A32,A61,A123,A152,1
48,12749,4,Old,Male,A14,A33,A63,A123,A152,1
9,1288,3,Old,Male,A11,A34,A62,A121,A152,1
24,2835,3,Old,Male,A14,A32,A63,A122,A152,1
12,3565,2,Old,Male,A14,A34,A65,A122,A152,1
24,5433,2,Old,Female,A14,A32,A65,A122,A151,1
36,2348,3,Old,Male,A11,A34,A61,A122,A152,1
18,884,4,Old,Male,A12,A34,A61,A123,A152,0
24,4110,3,Young,Male,A11,A30,A61,A124,A151,0
48,3060,4,Old,Male,A12,A32,A61,A121,A152,0
24,1516,4,Old,Female,A14,A34,A64,A121,A152,1
18,3966,1,Old,Female,A11,A34,A61,A121,A151,0
18,6361,2,Old,Male,A12,A34,A61,A124,A152,1
18,1149,4,Old,Male,A14,A34,A64,A121,A152,1
15,1569,4,Old,Male,A14,A31,A62,A123,A152,1
36,5179,4,Old,Male,A11,A32,A61,A122,A152,0
18,1553,4,Old,Male,A11,A31,A61,A123,A152,0
9,1501,2,Old,Female,A12,A34,A61,A123,A152,0
12,754,4,Old,Male,A12,A32,A65,A122,A152,1
6,1872,4,Old,Male,A11,A34,A61,A124,A153,1
12,1963,4,Old,Male,A14,A32,A61,A123,A151,1
24,6872,2,Old,Male,A11,A31,A61,A122,A152,0
18,3001,2,Old,Female,A12,A32,A61,A121,A151,1
24,3069,4,Old,Male,A12,A32,A62,A124,A153,1
6,1198,4,Old,Female,A11,A31,A61,A124,A153,0
36,3835,2,Old,Female,A14,A32,A65,A121,A152,1
12,1255,4,Old,Male,A14,A34,A61,A121,A152,1
24,2463,4,Old,Male,A14,A34,A62,A122,A152,1
12,1372,2,Old,Male,A11,A32,A61,A123,A152,0
12,2214,4,Young,Male,A11,A32,A61,A122,A152,1
6,368,4,Old,Male,A12,A32,A65,A122,A152,1
24,1249,4,Old,Male,A14,A32,A61,A121,A152,1
30,6350,4,Old,Male,A11,A32,A65,A122,A152,0
15,1053,4,Old,Male,A11,A32,A61,A121,A152,1
12,841,2,Young,Female,A12,A32,A62,A121,A151,1
24,2022,4,Old,Female,A14,A34,A61,A123,A152,1
12,3447,4,Old,Female,A14,A31,A63,A121,A152,1
30,2522,1,Old,Male,A11,A32,A61,A122,A152,1
48,6560,3,Young,Male,A12,A32,A62,A122,A152,0
24,3868,4,Old,Female,A14,A34,A61,A123,A151,1
15,1271,3,Old,Male,A13,A34,A65,A124,A153,0
6,1169,4,Old,Male,A11,A34,A65,A121,A152,1
24,7814,3,Old,Male,A14,A32,A61,A123,A152,1
12,1424,4,Old,Male,A12,A34,A61,A122,A152,1
12,3499,3,Old,Female,A11,A34,A61,A121,A152,0
30,6742,2,Old,Male,A14,A34,A65,A122,A152,1
18,2775,2,Old,Male,A14,A34,A61,A122,A152,0
18,1800,4,Young,Male,A14,A34,A61,A123,A152,1
6,1740,2,Old,Male,A14,A34,A61,A121,A151,1
6,931,1,Old,Female,A12,A31,A62,A122,A152,0
15,3812,1,Young,Female,A14,A32,A62,A123,A152,1
48,7763,4,Old,Male,A11,A32,A61,A124,A153,0
15,2687,2,Old,Male,A13,A32,A61,A122,A151,1
15,1979,4,Old,Male,A14,A32,A65,A123,A152,1
36,1953,4,Old,Male,A12,A30,A61,A124,A153,0
6,3676,1,Old,Male,A11,A34,A61,A121,A151,1
18,1113,4,Old,Female,A12,A32,A61,A121,A152,1
18,1882,4,Young,Female,A11,A32,A61,A123,A151,0
24,3488,3,Young,Female,A14,A32,A62,A123,A152,1
6,343,4,Old,Female,A11,A32,A61,A121,A152,1
12,1413,3,Old,Male,A14,A32,A64,A122,A152,1
36,5742,2,Old,Male,A14,A32,A62,A123,A152,1
30,4583,2,Old,Male,A11,A30,A61,A121,A152,1
9,2697,1,Old,Male,A14,A32,A61,A121,A152,1
21,1835,3,Young,Female,A11,A32,A61,A121,A152,0
9,2507,2,Old,Male,A14,A32,A63,A124,A153,1
10,1275,4,Young,Female,A13,A32,A61,A122,A152,1
36,10974,4,Old,Female,A14,A32,A61,A123,A152,0
24,6615,2,Old,Male,A11,A34,A61,A124,A153,1
21,2580,4,Old,Male,A14,A33,A63,A121,A152,0
12,1344,4,Old,Male,A11,A33,A61,A121,A152,1
24,5507,3,Old,Male,A14,A34,A61,A124,A153,1
12,1412,4,Old,Female,A14,A34,A61,A121,A152,1
21,2241,4,Old,Male,A14,A32,A61,A121,A152,1
12,1274,3,Old,Female,A11,A32,A61,A121,A152,0
12,1168,4,Old,Male,A11,A32,A61,A121,A152,1
21,1591,4,Old,Male,A14,A33,A62,A121,A152,1
24,6419,2,Old,Female,A11,A34,A61,A124,A153,1
10,1521,4,Old,Male,A12,A32,A61,A123,A152,1
18,2278,3,Old,Female,A12,A30,A62,A123,A152,0
39,4933,2,Young,Male,A12,A34,A61,A121,A152,0
15,874,4,Young,Female,A14,A32,A65,A121,A152,1
18,1301,4,Old,Male,A12,A32,A61,A121,A152,1
36,9857,1,Old,Male,A12,A33,A62,A122,A152,1
12,1200,4,Young,Female,A11,A32,A65,A122,A151,1
24,3234,4,Young,Female,A11,A32,A61,A121,A151,0
12,6199,4,Old,Male,A11,A30,A61,A122,A151,0
10,2241,1,Old,Male,A11,A34,A61,A121,A151,1
12,1331,2,Young,Male,A12,A32,A61,A123,A152,0
24,7758,2,Old,Female,A12,A34,A64,A124,A151,1
15,3643,1,Old,Female,A11,A33,A61,A122,A152,1
45,4576,3,Old,Male,A12,A34,A62,A123,A152,1
24,2603,2,Old,Female,A14,A32,A64,A123,A151,1
11,3905,2,Old,Male,A11,A34,A61,A121,A151,1
48,6758,3,Old,Female,A11,A32,A61,A123,A152,0
36,2145,2,Young,Male,A11,A33,A61,A123,A152,0
12,522,4,Old,Male,A14,A34,A63,A122,A152,1
15,3029,2,Old,Male,A14,A32,A61,A123,A152,1
18,1126,4,Young,Female,A14,A32,A65,A121,A151,1
36,5842,2,Old,Male,A14,A34,A61,A122,A152,1
36,1819,4,Old,Male,A14,A32,A61,A124,A153,0
24,4351,1,Old,Female,A12,A32,A65,A122,A152,1
9,1126,2,Old,Male,A13,A32,A62,A121,A152,1
18,4594,3,Old,Male,A14,A32,A61,A123,A152,1
48,2751,4,Old,Male,A14,A34,A65,A123,A152,1
12,3399,2,Old,Male,A13,A32,A65,A123,A152,1
27,2528,4,Old,Female,A12,A32,A61,A122,A152,1
12,2121,4,Old,Male,A11,A34,A61,A122,A152,1
6,1203,3,Old,Male,A11,A32,A62,A122,A152,1
18,2515,3,Old,Male,A14,A32,A61,A121,A152,1
18,1217,4,Old,Male,A11,A32,A61,A121,A152,0
48,7582,2,Old,Male,A12,A33,A62,A124,A153,1
36,7432,2,Old,Female,A12,A33,A61,A122,A151,1
36,3535,4,Old,Male,A14,A34,A61,A123,A152,1
24,1743,4,Old,Male,A12,A34,A61,A122,A152,1
6,2063,4,Old,Male,A12,A32,A61,A123,A151,1
18,3872,2,Old,Female,A12,A32,A61,A123,A152,1
36,1842,4,Old,Female,A11,A32,A61,A123,A152,0
24,1344,4,Old,Male,A13,A34,A65,A121,A152,0
48,6143,4,Old,Female,A11,A34,A61,A124,A153,0
6,1352,1,Young,Female,A11,A32,A63,A122,A151,1
36,9034,4,Old,Male,A12,A32,A62,A124,A151,0
24,7393,1,Old,Male,A14,A32,A61,A122,A152,1
12,2028,4,Old,Male,A12,A32,A65,A123,A152,1
24,3757,4,Old,Female,A14,A32,A61,A124,A153,1
12,1620,2,Old,Female,A11,A32,A61,A122,A152,1
30,2503,4,Old,Male,A12,A33,A62,A122,A152,1
36,3446,4,Old,Male,A11,A32,A61,A123,A152,0
4,1494,1,Old,Male,A13,A32,A65,A121,A152,1
12,1185,3,Old,Female,A14,A34,A61,A121,A152,1
26,7966,2,Old,Male,A12,A32,A61,A123,A152,1
15,1829,4,Old,Male,A14,A34,A61,A123,A152,1
15,3556,3,Old,Male,A14,A32,A65,A124,A152,1
18,3650,1,Young,Female,A11,A32,A61,A123,A151,1
9,1919,4,Old,Male,A12,A34,A61,A123,A151,1
24,2325,2,Old,Male,A11,A31,A62,A123,A152,1
12,652,4,Young,Female,A11,A32,A61,A122,A151,1
12,1493,4,Old,Female,A14,A32,A61,A123,A152,1
42,4370,3,Old,Male,A11,A33,A61,A122,A152,0
14,802,4,Old,Male,A14,A33,A61,A123,A152,1
48,6681,4,Old,Male,A12,A33,A65,A124,A153,1
12,939,4,Old,Male,A13,A34,A63,A121,A152,0
18,5866,2,Old,Male,A12,A32,A62,A123,A152,1
48,7238,3,Old,Male,A14,A33,A65,A123,A152,1
15,1478,4,Old,Male,A14,A33,A61,A121,A152,1
10,2146,1,Young,Female,A14,A34,A61,A121,A151,1
24,2924,3,Old,Male,A11,A32,A61,A124,A152,1
9,2406,2,Old,Male,A14,A34,A61,A123,A152,1
30,5954,3,Old,Male,A14,A34,A61,A123,A152,1
12,1995,4,Old,Male,A12,A34,A62,A123,A152,1
6,518,3,Old,Female,A14,A32,A61,A121,A152,1
4,1455,2,Old,Male,A14,A34,A61,A121,A152,1
27,5190,4,Old,Male,A14,A32,A65,A122,A152,1
18,3850,3,Old,Male,A14,A34,A61,A123,A152,1
24,947,4,Old,Male,A13,A32,A61,A124,A153,0
12,2247,2,Old,Female,A13,A33,A61,A123,A152,1
12,385,4,Old,Female,A11,A34,A61,A121,A152,1
12,2292,4,Old,Male,A14,A34,A61,A123,A152,0
24,4870,3,Old,Male,A11,A33,A61,A124,A153,0
14,3973,1,Young,Male,A11,A32,A61,A124,A153,1
18,1245,4,Old,Male,A12,A34,A61,A123,A152,0
12,2577,2,Old,Male,A11,A32,A61,A123,A152,1
24,9277,2,Old,Male,A14,A32,A65,A124,A153,1
42,7166,2,Old,Male,A14,A32,A65,A122,A151,1
18,2320,2,Old,Male,A14,A33,A61,A121,A152,1
9,1313,1,Young,Male,A14,A32,A61,A123,A152,1
42,4042,4,Old,Male,A14,A34,A63,A121,A152,1
9,2301,2,Young,Female,A14,A32,A62,A122,A151,1
24,4526,3,Old,Male,A14,A34,A61,A121,A152,1
18,1961,3,Young,Female,A13,A32,A61,A123,A152,1
18,3104,3,Old,Male,A11,A30,A61,A122,A152,1
18,12976,3,Old,Female,A12,A32,A61,A124,A153,0
12,674,4,Young,Male,A11,A32,A62,A122,A152,0
24,5150,4,Old,Male,A14,A34,A61,A123,A152,1
