LIMIT_BAL,LIMIT_BAL_CAT,EDUCATION,MARRIAGE,AGE,AGE_CAT,SEX,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,AVG_PAYMENT,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
240000,high,university,single,67,senior,male,0,0,0,0,0,0,0,542827,508581,471796,468202,442401,419209,20225,17389,80167,15167,16000,13133,1
140000,moderate,university,married,44,senior,male,1,-1,-1,-1,0,-1,0,0,1384,-12,1900,664,1085,1384,0,1912,0,1085,0,1
80000,moderate,university,single,36,midage,female,1,2,2,2,0,0,1,81606,154026,82385,79795,48999,48161,0,7600,5,2000,2000,2000,0
170000,moderate,highschool,single,44,senior,male,0,0,0,0,0,0,0,167077,170965,172541,159546,137410,136680,12275,10000,8009,6000,30000,5322,1
80000,moderate,university,married,29,young,male,0,0,0,0,0,0,0,78265,79364,73622,75092,75976,77511,3070,2623,2644,2743,2783,2909,0
300000,high,university,single,32,midage,female,0,0,0,0,0,0,0,114690,117682,120777,123835,127830,130931,4682,4777,4835,5830,4931,5079,1
90000,moderate,graduateschool,single,27,young,female,2,0,0,0,0,2,1,27459,28514,29733,30138,33248,32564,1800,2000,1200,3600,0,2000,0
50000,low,university,single,22,young,male,1,2,0,0,0,0,0,50043,98450,48689,19773,19931,19237,1000,2000,900,900,1000,1000,1
130000,moderate,graduateschool,single,26,young,female,-1,-1,-1,-1,-1,-1,-1,1094,1271,1205,1798,299,1280,1293,1205,1798,299,1280,3368,1
360000,high,highschool,married,42,senior,male,0,0,0,0,0,0,0,226988,217735,207215,197096,187693,177338,8006,7506,7006,7006,6103,5506,1
50000,low,university,married,39,senior,male,0,0,0,0,0,0,0,11665,12405,13355,13622,11550,11713,1232,1182,449,565,504,233,1
50000,low,highschool,single,50,senior,male,0,0,0,0,0,0,0,50693,43217,32829,26811,24477,24177,1900,1677,900,1023,1024,1016,1
50000,low,university,single,25,young,male,-1,3,2,0,0,0,1,10695,10386,9993,9993,15300,0,0,0,200,5307,0,0,0
90000,moderate,university,single,24,young,female,0,0,0,0,0,0,0,35411,17417,26046,10689,12455,15181,10000,14790,5000,5249,9932,0,1
170000,moderate,graduateschool,married,45,senior,female,0,0,0,0,0,0,0,165243,156688,151405,127090,126388,126399,7067,6443,4617,4711,4673,4603,1
60000,low,university,single,23,young,female,0,0,0,0,0,0,0,63709,64261,50243,15092,12037,10000,2351,1237,422,528,2000,5000,0
360000,high,graduateschool,married,50,senior,female,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,moderate,graduateschool,single,35,midage,male,-1,2,2,-2,-2,-1,0,348,22,-304,-630,-956,476,0,0,0,0,1908,326,1
180000,moderate,university,married,42,senior,female,0,0,0,2,0,0,0,102449,104807,111048,107782,110879,113666,5500,9500,0,5000,5000,5000,1
170000,moderate,graduateschool,single,43,senior,male,-1,-1,-1,-1,-1,-1,-1,1866,5750,200,41467,1028,2643,5750,200,41467,1328,2643,126,1
50000,low,university,single,31,midage,male,1,2,0,0,2,0,1,48657,45079,47714,19586,19143,20051,0,4300,2150,0,1204,1000,1
30000,low,university,single,35,midage,female,2,2,0,0,0,0,1,25368,24662,26001,27012,27241,27812,0,1739,1750,975,1010,3226,0
500000,high,graduateschool,married,45,senior,male,-1,-1,-1,-1,-1,-1,-1,10147,7358,11727,10850,9061,13017,7395,11807,10904,9106,13081,7063,1
240000,high,graduateschool,married,55,senior,male,1,4,3,2,2,2,2,99259,96819,94429,95475,96603,98699,0,0,3500,3600,3800,3700,0
50000,low,university,married,50,senior,male,-2,-2,-2,-2,-2,-2,-2,3526,-4,1473,2517,1217,4459,0,1477,2524,1320,4572,2206,0
280000,high,graduateschool,single,31,midage,male,-1,-1,2,-1,0,-1,0,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,1
60000,low,university,single,31,midage,female,0,0,0,2,2,2,1,36434,39925,43350,42057,26877,26493,4100,4073,0,1600,0,1100,0
300000,high,graduateschool,married,42,senior,male,-1,-1,-1,-2,-2,-2,-2,1653,1734,0,0,0,0,1734,0,0,0,0,0,1
340000,high,graduateschool,single,27,young,female,-1,-1,-1,-1,0,-1,-1,7453,2928,1564,7726,4536,4961,2942,1586,7742,1300,4985,5956,1
150000,moderate,graduateschool,married,37,midage,male,-2,-2,-2,-2,-2,-2,-2,22109,10876,10268,5872,3068,2181,10943,10273,5978,3068,2181,3242,0
260000,high,graduateschool,married,40,senior,male,0,0,-2,-2,-2,-2,-1,34471,0,0,0,0,0,0,0,0,0,0,0,1
220000,high,university,single,30,midage,male,-2,-2,-2,-2,-2,-2,-2,15872,19053,19303,19867,12826,19847,20066,20063,20057,12863,20061,13191,1
340000,high,university,married,41,senior,male,0,0,0,0,0,0,0,331003,332829,274467,275341,280913,270448,15110,11019,9502,9579,9026,8719,1
20000,low,highschool,single,24,young,male,0,0,0,0,0,2,0,12188,12904,14217,14360,16140,16287,1220,1533,676,2177,559,0,0
250000,high,highschool,married,46,senior,male,0,0,0,0,-1,0,0,55891,59152,20615,13896,79740,70097,21343,1238,1235,79788,2148,18253,1
30000,low,unknown,single,24,young,male,0,0,0,0,2,2,1,21652,22656,23804,25668,24887,0,1369,1517,2381,0,0,0,1
480000,high,graduateschool,married,61,senior,male,0,0,0,0,0,0,0,91524,94123,95336,97645,92109,79795,5000,4000,7172,4000,2500,3000,1
110000,moderate,highschool,married,51,senior,female,0,0,0,0,0,0,0,105476,109153,109501,105290,78812,78503,5436,5007,5290,8812,8503,8200,1
20000,low,university,married,24,young,male,1,4,3,2,2,2,2,17611,18038,17473,16900,17690,18255,1000,0,0,1376,1000,649,1
80000,moderate,university,single,26,young,female,0,0,0,0,0,0,0,67798,69206,70057,71886,73724,75498,3100,2600,3000,3000,3000,6500,1
10000,low,highschool,single,24,young,male,0,0,0,0,0,0,0,4050,5426,6743,8544,9858,1303,2000,2000,2000,2000,1000,0,1
90000,moderate,university,single,29,young,male,0,0,0,0,0,0,0,86294,88412,89853,69362,70537,56775,4400,4111,2100,2200,2510,2000,1
160000,moderate,university,married,47,senior,female,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,low,highschool,single,40,senior,male,0,0,0,0,0,0,0,43530,43344,46616,48872,19981,16554,2000,4000,4500,2000,1000,3000,0
410000,high,graduateschool,married,33,midage,male,-1,-1,-1,-2,-1,-1,-1,3244,8339,0,0,1759,2624,8339,0,0,1759,2624,0,1
450000,high,university,married,48,senior,male,-2,-2,-2,-2,-2,-2,-2,18659,388,481,29646,10163,10163,389,483,29707,10214,10214,10184,1
50000,low,university,married,36,midage,male,2,2,7,7,7,7,5,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0
70000,moderate,graduateschool,married,40,senior,male,1,2,2,2,2,2,2,12026,13531,13017,14299,13927,15692,2000,0,1500,0,2000,0,1
180000,moderate,graduateschool,single,26,young,female,-1,-1,-2,-2,-2,-2,-2,3000,0,0,0,0,0,0,0,0,0,0,0,1
200000,high,university,married,45,senior,female,0,0,0,0,0,0,0,144314,147532,147911,57903,60117,61828,7008,8000,5000,3000,3000,3000,1
150000,moderate,university,married,50,senior,female,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,low,university,single,27,young,female,1,2,0,0,2,2,1,51176,48900,48854,50243,51187,47551,0,2200,3700,2000,0,2000,0
100000,moderate,university,married,29,young,female,0,0,0,2,2,2,1,73742,75216,82006,84044,84532,80828,2700,8000,4304,3000,0,3000,0
90000,moderate,university,single,23,young,female,0,0,0,0,-1,-1,0,88015,69701,52046,42541,8571,4653,5640,16021,13280,8571,19653,12000,1
360000,high,highschool,single,40,senior,male,-1,-1,-1,0,0,0,0,2569,316,4919,5559,5353,5401,316,4919,1000,110,1025,2684,1
100000,moderate,graduateschool,married,32,midage,female,-1,-1,-1,-1,-1,0,-1,380,380,380,380,425,1045,380,380,380,425,1000,0,0
140000,moderate,university,single,25,young,male,2,0,0,0,0,0,0,142697,137269,133767,120287,117183,119575,5010,6377,5604,4160,8239,0,0
360000,high,graduateschool,married,40,senior,female,2,2,2,2,0,0,1,108399,105167,115468,112157,114690,117845,0,12000,0,5900,5000,4500,0
480000,high,university,single,30,midage,female,0,0,-2,-2,-2,-1,-1,470400,0,0,0,0,330982,0,0,0,0,330982,30000,0
140000,moderate,university,married,37,midage,male,0,-1,0,0,0,0,0,34661,5309,51293,56740,59455,57532,5334,50006,9460,9461,2507,10007,1
170000,moderate,university,single,36,midage,male,-2,-2,-2,-2,-2,-2,-2,600,1598,0,1340,0,0,1598,0,1340,0,0,3200,1
330000,high,highschool,single,48,senior,male,1,-1,-1,-1,-1,-1,-1,0,571,0,11942,300,-200,571,0,11942,300,0,0,1
230000,high,graduateschool,married,35,midage,male,-2,-2,-2,-2,-2,-2,-2,392,4106,2562,6245,394,987,4114,2566,6286,394,989,3129,1
210000,high,graduateschool,single,30,midage,female,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,high,graduateschool,single,62,senior,female,2,2,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0
280000,high,graduateschool,single,32,midage,male,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
430000,high,graduateschool,single,31,midage,male,0,0,0,0,0,0,0,29860,39305,43020,45540,8342,8310,10000,5000,5540,8310,5640,2820,1
20000,low,university,single,21,young,female,0,-1,-1,-2,-2,-2,-1,20000,1685,0,0,0,0,1685,0,0,0,0,0,1
30000,low,university,single,22,young,female,2,2,0,0,0,2,1,31331,24544,28267,30470,29284,25762,0,5600,3005,1200,0,5000,0
180000,moderate,highschool,0,27,young,male,-2,-2,-2,-2,-2,-2,-2,349,1257,1097,243,323,155,1260,1104,243,323,155,209,0
260000,high,graduateschool,single,30,midage,female,-2,-2,-2,-2,-2,-2,-2,0,3459,0,0,200,0,3459,0,0,200,0,950,1
350000,high,university,single,32,midage,male,0,0,0,0,0,0,0,227873,228009,220450,190173,192649,197269,10156,9000,8700,7000,7600,7800,0
80000,moderate,university,married,34,midage,female,2,2,2,0,0,0,1,17294,22256,21660,22055,22603,23133,5210,0,1000,1000,1000,1000,0
60000,low,university,single,25,young,female,0,0,0,0,0,0,0,53447,51734,50293,26667,26608,27665,2025,5000,2000,1000,1500,1000,1
350000,high,graduateschool,single,33,midage,male,-2,-2,-2,-1,0,0,-1,6015,8751,686,430667,161089,119339,8797,691,238241,1009,596,10356,1
210000,high,highschool,married,55,senior,female,-1,-1,-2,-1,0,0,-1,3857,0,0,95438,96317,98400,0,0,95438,3393,3580,3998,1
30000,low,university,single,25,young,male,0,0,0,0,0,0,0,26328,27470,28541,28509,29265,0,1868,1939,907,1100,0,0,0
50000,low,graduateschool,single,25,young,male,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
360000,high,university,married,37,midage,male,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
20000,low,university,single,23,young,male,2,0,0,2,2,-2,1,15021,17452,19853,19437,0,0,6000,3000,295,0,0,0,0
70000,moderate,university,married,34,midage,female,0,0,0,0,0,0,0,43662,44733,45775,46911,48128,51182,1800,1764,1900,2000,4000,2000,0
20000,low,university,single,22,young,male,2,3,2,2,3,2,2,18292,17710,17137,19830,19240,18419,0,0,3000,0,0,2000,0
330000,high,university,married,43,senior,female,0,0,0,0,0,0,0,15018,17365,19114,14093,16005,4935,3000,2500,3000,3000,170,2000,1
70000,moderate,university,married,37,midage,female,0,0,0,0,2,2,1,68886,60353,32488,35377,30159,29177,2850,1919,5154,1184,0,1213,0
360000,high,university,single,23,young,female,0,0,-2,-2,-2,-2,-1,37927,2047,3794,8521,7119,5725,2057,4294,8535,1535,5753,7792,1
50000,low,graduateschool,single,24,young,male,0,0,2,2,2,2,1,29595,31798,32979,32152,34668,33961,3000,2000,0,3200,0,1600,0
150000,moderate,highschool,married,48,senior,female,2,2,2,2,2,2,2,84647,76858,62650,59255,45983,52986,5950,0,10000,0,20000,0,0
20000,low,highschool,single,49,senior,male,0,0,0,0,0,0,0,15237,16030,17948,18647,19193,19721,1600,2500,1000,846,1000,593,1
180000,moderate,graduateschool,single,56,senior,female,-2,-2,-2,-2,-2,-2,-2,0,0,1829,-200,0,4208,0,1829,998,200,4208,0,0
100000,moderate,graduateschool,single,25,young,male,-1,-1,-1,-1,-1,-1,-1,1522,291,1791,2367,4589,291,291,1791,2367,4613,291,291,1
330000,high,university,married,42,senior,female,-2,-1,2,2,-2,-1,0,-4,8223,2996,207,-3,500,15450,0,209,3,503,0,0
70000,moderate,university,married,48,senior,male,0,0,0,-1,-1,-1,0,8439,7606,8638,1230,390,890,1188,2000,1230,390,890,215,1
160000,moderate,graduateschool,single,30,midage,male,0,0,0,0,0,0,0,143457,134345,77045,69659,70186,75249,5237,3034,3010,5011,10006,8070,1
100000,moderate,university,married,30,midage,female,2,2,2,2,2,2,2,29778,30678,31154,31625,31059,33123,1600,1200,1200,0,2500,1300,0
10000,low,highschool,single,49,senior,male,1,-1,0,0,0,0,0,2365,9148,7264,9084,4422,1735,10008,5000,5019,1009,1000,9000,1
30000,low,university,single,38,midage,female,0,0,0,0,2,0,0,22070,23075,24124,27012,26279,26831,1676,1725,3613,0,975,980,1
500000,high,university,married,49,senior,male,-2,-1,0,0,0,0,0,5157,77667,94159,95209,97952,202991,77677,20000,3500,4371,107500,0,1
200000,high,university,single,23,young,female,0,-1,-1,-1,0,0,0,67821,4938,-849,107555,108177,110506,4938,473,110000,3899,4100,8000,1
30000,low,university,single,25,young,male,1,2,3,2,0,0,1,25787,28067,27332,26597,27512,57002,3000,0,0,1500,1600,900,1
90000,moderate,graduateschool,single,33,midage,male,-1,-1,2,-1,-1,2,0,1650,721,421,2754,309,159,721,0,2833,1000,0,2000,1
280000,high,graduateschool,married,37,midage,male,-1,-1,-1,-1,-1,-1,-1,22398,30002,1715,4408,2517,29987,30422,1721,4428,2528,30135,8302,1
20000,low,university,single,44,senior,male,0,0,0,0,0,0,0,17636,17947,17914,18357,19155,10200,1375,1122,565,1000,204,0,0
70000,moderate,highschool,married,35,midage,female,3,2,2,2,0,0,2,69852,67531,28650,27590,27850,28085,0,2708,0,1010,1013,2000,0
130000,moderate,graduateschool,single,48,senior,male,0,0,0,0,0,0,0,102771,104003,102744,31384,30057,29206,4843,2608,2005,1180,1100,1234,1
320000,high,university,married,36,midage,male,0,0,0,0,0,0,0,154188,14512,303265,310715,318340,268942,5000,300000,14000,15000,12000,10000,1
240000,high,university,married,41,senior,male,0,0,0,0,0,0,0,22165,21292,16469,13737,9071,177268,7002,3002,5002,3009,177004,5452,0
130000,moderate,university,married,44,senior,male,-1,2,0,0,0,0,0,29547,23154,18637,14691,8769,4166,0,1500,486,303,83,780,1
500000,high,graduateschool,single,41,senior,female,-1,-1,2,0,0,-1,0,10386,34000,28854,92952,50089,2165,28854,0,70000,32000,2165,41242,1
120000,moderate,university,single,28,young,male,0,0,2,0,0,0,0,59946,49595,35786,32651,29972,27425,4000,0,1210,1000,1035,2000,1
360000,high,university,married,49,senior,male,1,2,-1,-1,0,-1,0,3295,1645,1656,1866,1473,1080,0,1656,1866,1080,1080,0,1
30000,low,university,single,22,young,female,0,0,0,2,0,0,0,27444,29000,29886,28392,22612,22750,2000,1800,0,1000,1000,0,0
210000,high,highschool,married,44,senior,male,1,2,2,-2,-2,-2,0,19131,18447,0,0,0,0,0,0,0,0,0,0,0
360000,high,highschool,married,53,senior,male,0,0,0,0,0,0,0,8669,8254,8988,6868,5604,6158,1303,1513,706,700,600,2000,1
70000,moderate,graduateschool,single,29,young,female,0,0,2,2,2,2,1,40783,44205,44784,43763,46646,47724,4100,1600,0,3600,2000,1900,1
160000,moderate,graduateschool,single,28,young,female,0,0,0,0,0,0,0,40854,41849,42889,43904,44777,45866,1676,1716,1731,1604,1812,1667,1
430000,high,graduateschool,single,34,midage,male,0,0,0,0,0,0,0,416678,424740,434836,378571,228568,232668,16005,18016,16005,9005,9013,8010,1
50000,low,graduateschool,married,38,midage,male,0,0,-2,-2,-2,-2,-1,12650,0,0,0,0,0,0,0,0,0,0,0,1
80000,moderate,graduateschool,married,46,senior,male,0,0,0,0,0,0,0,39115,40176,39681,29213,25356,22723,2000,2490,1522,1100,960,988,1
360000,high,university,married,40,senior,female,0,0,0,0,0,0,0,352583,343476,279728,264189,271688,288740,10461,10212,8000,10000,20000,10000,1
70000,moderate,university,single,30,midage,male,0,0,2,2,2,2,1,17526,20235,19612,22170,22612,22101,3000,0,2900,942,0,1000,0
330000,high,university,married,42,senior,male,-1,-1,-1,-1,-1,-1,-1,870,0,870,0,435,435,0,870,0,435,435,435,1
100000,moderate,university,married,41,senior,female,-1,2,2,-1,0,0,0,2427,1225,935,5362,4082,-75,935,0,5362,0,0,0,1
140000,moderate,university,single,24,young,male,0,0,0,0,0,0,0,103884,105697,101636,97298,77081,72592,4000,4000,3800,3000,3300,2300,1
160000,moderate,university,single,28,young,male,0,0,-2,-2,-2,-2,-1,7169,581,0,972,-1,-1,581,0,972,1,0,0,1
180000,moderate,graduateschool,single,28,young,male,-2,-2,-2,-2,-2,-2,-2,2566,7255,24974,25256,29627,17765,7255,25043,25256,29627,17765,6932,1
200000,high,graduateschool,single,34,midage,male,0,0,0,2,2,2,1,156449,162377,174501,155355,129942,118202,10000,15000,0,10000,0,11000,0
140000,moderate,university,single,26,young,male,2,2,2,2,2,2,2,119424,116014,133567,129953,136283,139961,0,19500,0,10000,6000,5000,0
150000,moderate,highschool,married,43,senior,female,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
100000,moderate,graduateschool,married,45,senior,female,1,-1,-1,-2,-2,-2,-1,0,5220,0,0,0,0,5220,0,0,0,0,0,0
50000,low,graduateschool,single,27,young,female,2,3,2,2,2,2,2,12250,11761,12476,11979,12880,12531,0,1200,0,1100,0,1200,0
50000,low,graduateschool,married,49,senior,male,0,0,0,0,0,0,0,50430,46924,48351,28442,29481,30232,2500,2500,1500,1500,1256,1018,1
110000,moderate,university,single,25,young,female,2,2,2,2,2,0,2,111483,114125,114087,113879,112268,107423,5900,3500,3400,0,4000,4000,1
30000,low,university,married,31,midage,female,-1,2,2,3,2,2,2,699,309,-471,1479,1320,930,0,0,1950,0,390,0,0
20000,low,graduateschool,single,27,young,male,0,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,1
30000,low,university,single,33,midage,female,-2,-2,-2,-2,-2,-2,-2,498,4831,477,8560,1550,955,4831,477,8561,1550,955,570,1
170000,moderate,highschool,single,42,senior,female,0,0,0,0,0,0,0,77795,66420,83733,89389,97696,101063,5000,20000,8000,10000,5000,4000,1
340000,high,university,single,47,senior,female,0,0,0,0,0,0,0,196112,183453,167592,162628,142779,139548,6446,6207,5758,4853,4940,4600,1
480000,high,graduateschool,married,44,senior,male,0,0,0,0,0,0,0,350110,316685,312615,316685,302248,311651,14082,15023,15098,10008,15045,20164,1
90000,moderate,university,single,28,young,male,2,0,0,0,0,0,0,33382,35526,37513,38637,44088,35705,3000,3000,3000,10000,3000,2000,0
50000,low,graduateschool,single,26,young,female,1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,349,350,0,0,0,350,351,4076,1
20000,low,university,married,34,midage,female,0,0,0,2,3,2,1,6827,7759,9618,10313,9863,9558,1200,2000,1000,0,0,508,0
90000,moderate,unknown,single,31,midage,female,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
340000,high,university,married,49,senior,male,0,0,0,0,0,0,0,317686,302986,263928,260916,257001,210033,17000,18000,13000,12000,12000,8000,1
250000,high,university,married,39,senior,female,-1,-1,-1,-1,-1,-1,-1,8040,8099,45964,6496,11108,3321,8099,46224,6496,11108,3321,7154,1
50000,low,graduateschool,married,34,midage,female,0,0,0,-1,0,0,0,27966,28539,11597,6611,7349,7570,1267,1553,7511,1000,343,1000,1
260000,high,graduateschool,single,36,midage,male,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,8867,763,0,0,0,8867,763,748,1
390000,high,graduateschool,single,34,midage,male,-2,-2,-2,-2,-1,0,-2,5053,-9,1906,0,2258,7028,0,1915,0,2258,5001,5000,1
60000,low,highschool,married,43,senior,male,0,0,0,0,0,0,0,44057,42706,42345,42849,17490,15633,1669,2000,1870,1000,586,619,1
130000,moderate,highschool,single,36,midage,female,0,0,0,0,0,0,0,127544,126771,124824,123174,100585,97687,5963,6316,4845,3471,3673,3590,1
500000,high,graduateschool,married,49,senior,female,-2,-2,-2,-2,-2,-2,-2,27936,2305,9073,5714,31868,3663,2305,9083,6105,31868,3663,8110,1
460000,high,graduateschool,married,40,senior,male,2,-1,-1,-1,-1,-1,0,171,2715,-13,2641,-10,22535,2728,0,2654,0,22545,0,0
180000,moderate,university,married,36,midage,male,0,0,0,0,0,0,0,184661,183112,183172,183117,179277,183394,7000,7000,7000,6411,7000,7000,1
200000,high,university,married,54,senior,male,0,0,0,0,0,0,0,177664,183236,183493,146143,144339,140340,10000,7000,5000,6000,6000,5000,1
80000,moderate,highschool,married,29,young,female,1,2,0,0,0,0,0,80867,75615,77343,78883,79915,80296,0,3000,2744,3022,6000,2800,0
350000,high,highschool,married,41,senior,male,0,0,0,0,0,0,0,349125,338832,296868,237193,233591,237351,12005,10095,8389,8474,7640,6847,1
230000,high,university,married,34,midage,male,0,0,0,0,0,0,0,131887,133440,134272,136281,138687,118873,5005,5007,5000,5008,5000,4005,1
30000,low,university,others,45,senior,male,0,-1,-1,0,0,-2,-1,3390,390,780,780,0,0,390,780,0,0,0,0,1
110000,moderate,graduateschool,single,32,midage,male,0,0,0,2,2,2,1,112380,113369,113214,108350,109072,106848,6200,9900,0,8007,0,5000,0
420000,high,university,single,31,midage,male,2,2,0,0,2,0,1,239293,90568,88997,93971,92203,93059,0,3500,6600,0,4000,3000,0
160000,moderate,graduateschool,married,41,senior,male,0,-1,0,0,2,2,0,117126,11222,15513,18087,17499,19939,15315,15000,3000,0,3000,0,1
220000,high,highschool,married,42,senior,male,-1,-1,-1,-1,-1,-1,-1,285,825,0,1230,3227,3820,825,0,1230,3227,3820,3650,1
240000,high,graduateschool,single,28,young,female,0,0,0,0,0,0,0,209848,214477,218142,195913,197823,189111,10000,9000,7000,7000,6625,7000,1
200000,high,graduateschool,single,34,midage,male,3,2,-1,-1,-1,-2,0,1571,361,1716,460,0,0,0,1716,460,0,0,0,0
240000,high,graduateschool,married,38,midage,male,-1,-1,-1,-1,-1,-1,-1,3833,4890,4157,14342,11411,3006,4890,4164,14371,11411,3006,13336,1
20000,low,graduateschool,married,38,midage,male,0,0,0,2,2,0,1,15912,17272,20565,20705,20255,19933,1623,3916,750,0,800,850,1
50000,low,university,single,25,young,female,2,2,2,2,2,2,2,33995,34937,34394,36509,37105,37866,1800,300,3000,1500,1500,0,0
200000,high,graduateschool,married,34,midage,male,-1,-1,-1,-1,-1,2,0,2727,1332,2003,816,4530,4245,1332,2003,816,4530,0,0,1
50000,low,graduateschool,married,41,senior,male,0,0,0,0,0,0,0,46631,46929,47393,22944,24071,24397,2100,1500,824,1500,877,2796,1
210000,high,graduateschool,single,32,midage,male,0,0,0,0,0,2,0,124838,102995,17383,172065,181981,174744,5000,1400,155000,12700,0,6300,1
170000,moderate,university,single,38,midage,female,0,0,0,0,2,2,1,86401,88991,91571,94045,97965,101176,3991,4071,4000,5600,5000,4000,1
50000,low,university,married,46,senior,male,0,0,0,-1,0,0,0,3656,4400,0,1704,3715,-105,1000,0,1704,2011,0,1649,1
200000,high,graduateschool,single,45,senior,female,-1,-1,-1,-2,-2,-2,-2,2377,221,0,0,0,0,221,0,0,0,0,0,1
250000,high,highschool,married,28,young,male,0,0,0,0,0,0,0,149499,119726,111690,114776,110902,114018,15000,10000,10000,10000,5000,5000,1
20000,low,university,married,40,senior,male,1,2,0,0,0,0,0,20498,19692,20498,19898,19906,18586,0,1600,0,398,0,0,0
430000,high,university,married,48,senior,male,0,0,0,0,0,0,0,32263,32802,25645,25045,25568,26144,1794,2399,884,914,987,869,1
430000,high,unknown,single,41,senior,female,-2,-2,-2,-2,-2,-2,-2,2663,20679,6698,2104,888,888,20679,6698,2104,888,888,4232,1
260000,high,graduateschool,married,53,senior,male,0,0,0,0,0,0,0,73223,66672,64075,63922,60089,53326,2001,2048,2129,1660,1568,1997,1
420000,high,graduateschool,single,31,midage,male,-2,-2,-2,-2,-2,-2,-2,7712,72910,18030,11831,11562,46623,35527,18442,11943,11620,46856,21802,1
160000,moderate,highschool,married,33,midage,female,-1,2,-1,-1,-2,-2,-1,2364,1095,2190,0,0,0,0,2190,0,0,0,0,0
140000,moderate,graduateschool,single,32,midage,male,-1,-1,2,2,2,-1,0,9556,6434,5413,5841,5215,8671,3000,0,5000,0,8671,7000,1
160000,moderate,university,single,43,senior,male,-1,-1,0,0,0,-1,0,12458,7146,11529,20860,0,780,7545,5000,10000,0,780,0,1
50000,low,university,married,35,midage,male,1,2,0,0,0,-1,0,48047,46593,46945,21260,70,29575,0,2052,1800,0,29935,1200,0
160000,moderate,graduateschool,married,30,midage,female,2,0,0,0,0,2,1,74286,75151,77346,78921,83303,81852,2700,3400,3458,6300,0,3200,0
200000,high,graduateschool,single,40,senior,female,2,2,0,0,0,2,1,185696,181236,185410,189069,197736,183299,0,8600,8300,13257,917,7000,0
